docId,filename,0 app healthkit health,1 data read store,2 work code result,3 fhir resourc patient,4 class java creat,5 api request access,6 time queri step,7 file dicom imag,8 error code follow,9 hl7 messag segment,10 server send applic,11 valu type cda,12 patient medic inform,13 imag dicom pixel,14 exampl find question,15 project researchkit creat,16 messag hl7 xml,17 studi store seri,18 imag dicom slice,19 fit googl api
0,10008944.txt,0.004953317998339497,0.22278213045024195,0.00913203514000237,0.00422838038920592,0.0037225036479392242,0.0025292588410880824,0.004928895932744977,0.007100437914951153,0.009692628459962207,0.002591764119122627,0.2617926955420365,0.0038794772943735473,0.0031226336168161985,0.0030691090813414726,0.010062996891464173,0.0035336194293797527,0.43292401647126105,0.002964270478591984,0.0032433961994351,0.003746432101702208
1,1003341.txt,0.02176157310724587,0.0034765133058679613,0.004142153881582544,0.0019179297903963459,0.001688471704075444,0.0011472337946059686,0.0022356731119335923,0.04225029694283252,0.29711876828705946,0.0011755852492446022,0.0016562967746100979,0.060304140131019424,0.020931202187661643,0.0013921017494327684,0.16068300424679186,0.001602796661537708,0.37200122948146525,0.0013445485349892273,0.001471155766599107,0.001699325291048674
2,10088701.txt,0.003684988540421537,0.005701973208782653,0.0708078523201422,0.0031456759456974866,0.06678346673375654,0.0018816255787118626,0.0036668199043922334,0.005282324364666454,0.007210767573068776,0.0019281259716505703,0.002716560819335633,0.03489317901056974,0.0023230628636724316,0.7384457901823329,0.007486300746242025,0.0026288130719328805,0.0020003192154700064,0.002205249642357537,0.03441997063864354,0.002787133668152954
3,1008897.txt,0.0038068341366079245,0.0058905111967416214,0.007018354791539358,0.0032496889587118613,0.0028609013120847685,0.001943842268919392,0.03685345826223006,0.005456986498456709,0.007449194440415704,0.0019918802156492087,0.10200256551608783,0.0029815421907835172,0.7298385331759495,0.0023587399847417026,0.07386462525588904,0.0027157358106330637,0.002066460557484641,0.0022781670895803538,0.0024926869978251056,0.002879291339668644
4,10107569.txt,0.005687393019105734,0.00880039714290365,0.010485390383352888,0.004855020637834098,0.00427417364844786,0.0029040915768254877,0.005659351636456573,0.008152713200247687,0.011129062874310607,0.8427681876201699,0.004192726482155693,0.004454410576747925,0.0035854036909116096,0.003523946891749536,0.011554319405897628,0.004057297044439292,0.052486831426996644,0.003403571350019705,0.0037240631247670904,0.00430164826666038
5,10107944.txt,0.005176008091711839,0.052966867158102844,0.09945811568897514,0.004418478909834256,0.0038898590822594847,0.00264296865896643,0.005150488064696426,0.007419657715253708,0.010128387346731839,0.4522859074516973,0.003815735280658459,0.318758226304667,0.003263020236841306,0.003207089358021256,0.010515406714156149,0.0036924830518919134,0.002809688098540204,0.003097537446285117,0.0033892120349493606,0.003914863305759949
6,10140652.txt,0.009403702160233285,0.25958681536283296,0.017336851500782798,0.00802743329089579,0.4154603455815636,0.0864803703952201,0.00935733771703268,0.013479934739060152,0.018401118445825673,0.004920374152028774,0.0886110370824523,0.007365052884936158,0.005928211452992797,0.0058265969816348314,0.019104250047827565,0.00670845374204525,0.005104603697226063,0.005627564536013189,0.006157475021257424,0.007112471208138597
7,10193971.txt,0.0032667519439062323,0.11855220817843391,0.006022648567167177,0.0027886499232724397,0.0024550202575687793,0.0016680659789127905,0.003250645400720059,0.004682794314644848,0.006392364244281701,0.0017092886984297283,0.0024082382455086343,0.08768159115700765,0.002059401282385041,0.711382814369699,0.006636625120319975,0.002330449638771598,0.0017732881972062052,0.001954959554676368,0.03051339366719488,0.0024708012598931
8,10241062.txt,0.005687393019105734,0.00880039714290365,0.05988493906380787,0.004855020637834098,0.10307327100935781,0.0029040915768254877,0.005659351636456573,0.15635135924161264,0.10992816023522058,0.0029758600524351915,0.10299182384306566,0.004454410576747925,0.0035854036909116096,0.20112214161356945,0.011554319405897628,0.004057297044439292,0.0030872827465416677,0.20100176607183962,0.0037240631247670904,0.00430164826666038
9,10280068.txt,8.83965947113418E-4,0.0013678061933240944,0.016985596984266733,7.545940472130439E-4,6.643156090295128E-4,4.5136990754619707E-4,8.79607600980389E-4,0.0012671395877498495,0.12457693913621609,0.3920379710195053,0.031363456364232184,6.923290251050968E-4,5.572631887358062E-4,5.477112345284279E-4,0.05554148547318268,6.306074527573587E-4,0.36902143915652214,5.290018048482486E-4,5.788144016311554E-4,6.685858655122676E-4
10,10294231.txt,0.002860874669254938,0.0044267792257260425,0.17921722778233998,0.0024421743872508877,0.2009418394726756,0.0014608172850771315,0.0028467692819461347,0.4762316080390069,0.030447125946894457,0.0014969182918535412,0.0021090269210548803,0.002240659357049878,0.0018035311721775508,0.07631955826120759,0.005812058283605449,0.0020409031521272302,0.001552966179185843,0.0017120657966774814,0.0018732796950311288,0.0021638167998574713
11,10295792.txt,0.0026022241972625884,0.004026555983357246,0.05000230113133326,0.0022213784311265403,0.2505819561467237,0.0013287454105765316,0.025191788610006097,0.20715176387431292,0.005092019596166647,0.001361582540559433,0.0019183506868116367,0.0020380822897972397,0.06944765829352563,0.0016123555802761815,0.027888987083927386,0.0018563859590948423,0.001412563162041725,0.3405931967192727,0.0017039172680431364,0.0019681870357847
12,10314074.txt,0.003176617492079264,0.004915344413069547,0.0058564749070701165,0.0027117070036729424,0.0023872826671610223,0.0016220416050998412,0.05834387304795038,0.05973650688405238,0.06139890728532786,0.167210880017749,0.0023417914390614623,0.0024879515988197403,0.05718549709268434,0.0019682535214086668,0.28236809943159186,0.0022661491334660558,0.001724360588887316,0.0019010193685739774,0.2779946142536651,0.0024026282486091315
13,10325060.txt,0.0030913233705157656,0.03163397572176033,0.16680289284160224,0.0026388960129280427,0.029173793979161363,0.001578488796431058,0.05677730439036237,0.004431322534661202,0.03289969777990453,0.0016174978055101335,0.055980135529331294,0.1098235938214222,0.0019488089156517085,0.0019154047111438436,0.22108512072516096,0.0559065242658821,0.216482950940841,0.0018499758364137419,0.002024175809935257,0.002338116211380933
14,10328327.txt,0.003937013021434352,0.006091943712877636,0.34921936568851575,0.0033608156507339134,0.0713509350879149,0.1387947183064983,0.003917601792377751,0.005643594160201318,0.04190002889899169,0.002059994752788483,0.0029023523959234103,0.003083499308832529,0.002481942248548406,0.3102043091701879,0.04219440639263136,0.0028086033868459895,0.0021371254515298666,0.0023560715215906474,0.0025779271742955596,0.0029777518772802036
15,10385976.txt,0.0035707008773423403,0.005525130001314384,0.006583014839196405,0.003048114732495699,0.0026834431074408134,0.0018232681136011513,0.0035530957304339248,0.7184494122638465,0.006987130032302093,0.0018683263253273712,0.002632308349009399,0.0027966007801827134,0.002251014491482699,0.0022124302322360664,0.007254117712832055,0.0025472820442600276,0.0019382805398972655,0.21923756872652048,0.0023380686761427577,0.00270069242413592
16,10390121.txt,0.004748999325626749,0.007348372084802466,0.13250190015656896,0.004053964559425401,0.003568954652140797,0.002424929821725437,0.004725584642160501,0.17180295430376777,0.009292818679386606,0.002484856828901975,0.003500945893734907,0.5399545075073091,0.08549152921494141,0.002942511860222104,0.009647909838893406,0.0033878616904409477,0.0025778952908815855,0.0028419977293054387,0.0031096098350683653,0.0035918960846960646
17,10400380.txt,0.002338001981213293,0.10515477959343492,0.004310386746215842,0.001995826177645157,0.0017570486907711562,0.06211606947705363,0.0023264745893187186,0.003351458137394548,0.18734171379459813,0.20429746804108956,0.022030980642096236,0.022138555049131828,0.22485545595006026,0.02175605538159253,0.004749807437574877,0.0016678939711751175,0.12311361759974765,0.0013991571415611595,0.0015309065040203362,0.0017683430943051066
